Street Name,Project,Developers,City,Province,Country,Postal Code,Completion,Building Type,Num Floors,Status,Brochure URL,Photos,Price,Bed,Area,Unit Url,Description,Status,Parking Included,Parking Price,Locker Included,Locker Price,Building Type,Deposit Structure
8 Locust Street,Locust Condos,Fengate,Mt Dennis,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2020/03/8-locust-street-condos-rendering-03-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/locust-condos/,"Locust Condos is a new condominium development by Fengate & Trolleybus Urban Development Inc currently in pre-construction located at 8 Locust Street, Toronto in the Mt Dennis neighbourhood with a 52/100 walk score and a 74/100 transit score. Locust Condos is designed by WZMH Architects. The project is 36 storeys tall and has a total of 446 suites. Locust Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
8 Gloucester Street,8 Gloucester Condos,Angel Developments,Church & Wellesley,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2016/02/8-gloucester-condos-podium-260x260.jpg,,,710 sq.ft.,https://www.talkcondo.com/toronto/8-gloucester-condos/,"8 Gloucester Condos is a new condominium development by Angel Developments currently in pre-construction located at 8 Gloucester Street, Toronto in the Church & Wellesley neighbourhood with a 99/100 walk score and a 100/100 transit score. 8 Gloucester Condos is designed by Hariri Pontarini Architects. The project is 34 storeys tall (100.0m, 328.1ft) and has a total of 252 suites. 8 Gloucester Condos is the # tallest condominium in  and the # tallest condominium in . 8 Gloucester Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
719 Sheppard Avenue West,719 Sheppard Ave W Condos,Format Group,Clanton Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/719-sheppard-ave-w-condos/,"719 Sheppard Ave W Condos is a new condominium development by Format Group & Topfar Developments currently in pre-construction located at 719 Sheppard Avenue West, Toronto in the Clanton Park neighbourhood with a 54/100 walk score and a 62/100 transit score. 719 Sheppard Ave W Condos is designed by ICON Architects Inc. The project is 9 storeys tall and has a total of 91 suites. 719 Sheppard Ave W Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
71 Talara Drive,71 Talara Drive Condos,Tribute Communities,Bayview Village,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/03/71-talara-drive-condos-rendering-03-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/71-talara-drive-condos/,"71 Talara Drive Condos is a new condominium development by Tribute Communities currently in pre-construction located at 71 Talara Drive, Toronto in the Bayview Village neighbourhood with a 56/100 walk score and a 71/100 transit score. 71 Talara Drive Condos is designed by Turner Fleischer Architects. The project is 23 storeys tall and has a total of 236 suites. 71 Talara Drive Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
7 Heath Street West,7 Heath Street Condos,Tribute Communities,Deer Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/7-heath-street-condos/,"7 Heath Street Condos is a new condominium development by  currently in pre-construction located at 7 Heath Street West, Toronto in the Deer Park neighbourhood with a 94/100 walk score and a 89/100 transit score. The project is 13 storeys tall and has a total of 97 suites. 7 Heath Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
69 Yorkville Avenue,69 Yorkville Avenue Condos,Tribute Communities,Yorkville,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/69-yorkville-avenue-condos/,"69 Yorkville Avenue Condos is a new condominium development by  currently in pre-construction located at 69 Yorkville Avenue, Toronto in the Yorkville neighbourhood with a 99/100 walk score and a 92/100 transit score. 69 Yorkville Avenue Condos is designed by JET Design Architect Inc.. The project is 29 storeys tall and has a total of 143 suites. 69 Yorkville Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
660 Eglinton Avenue East,660 Leaside,RioCan,Leaside,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2016/07/leaside-660-condos-exterior-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/660-leaside/,"660 Leaside is a new condominium development by RioCan currently in pre-construction located at 660 Eglinton Avenue East, Toronto in the Leaside neighbourhood with a 89/100 walk score and a 72/100 transit score. The project is 19 storeys tall and has a total of 426 suites. 660 Leaside is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
65 Raglan Avenue,65 Raglan Avenue Condos,Camrost-Felcorp,Hillcrest Village St Clair-Humewood,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2019/04/65-raglan-avenue-condos-rendering-001-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/65-raglan-avenue-condos/,"65 Raglan Avenue Condos is a new condominium development by Camrost-Felcorp currently in pre-construction located at 65 Raglan Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 92/100 walk score and a 88/100 transit score. 65 Raglan Avenue Condos is designed by IBI Group. The project is 33 storeys tall and has a total of 347 suites. 65 Raglan Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
645 Northcliffe Boulevard,645 Northcliffe Boulevard Condos,Stanford Homes,Cedarvale-Oakwood Vaughan,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/645-northcliffe-boulevard-condos/,"645 Northcliffe Boulevard Condos is a new condominium development by Stanford Homes currently in pre-construction located at 645 Northcliffe Boulevard, Toronto in the Cedarvale-Oakwood Vaughan neighbourhood with a 78/100 walk score and a 80/100 transit score. 645 Northcliffe Boulevard Condos is designed by Superkul Inc.. The project is 15 storeys tall and has a total of 159 suites. 645 Northcliffe Boulevard Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
609 Sherbourne Street,609 Sherbourne Condos,Lanterra Developments,Cabbagetown,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2014/08/609-sherbourne-st-condos-10-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/609-sherbourne-condos/,"609 Sherbourne Condos is a new condominium development by Lanterra Developments currently in pre-construction located at 609 Sherbourne Street, Toronto in the Cabbagetown neighbourhood with a 94/100 walk score and a 97/100 transit score. 609 Sherbourne Condos is designed by architectsAlliance. The project is 46 storeys tall and has a total of 841 suites. 609 Sherbourne Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
586 Eglinton Avenue East,586 Eglinton Avenue East Condos,Sanderling Developments,Yonge & Eglinton,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/586-eglinton-avenue-east-condos/,"586 Eglinton Avenue East Condos is a new condominium development by Sanderling Developments currently in pre-construction located at 586 Eglinton Avenue East, Toronto in the Yonge & Eglinton neighbourhood with a 81/100 walk score and a 71/100 transit score. 586 Eglinton Avenue East Condos is designed by architectsAlliance. The project is 32 storeys tall and has a total of 249 suites. 586 Eglinton Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
57 Linelle Street,57 Linelle Street Towns,Sanderling Developments,Lansing-Westgate,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/57-linelle-street-towns/,"57 Linelle Street Towns is a new condominium development by  currently in pre-construction located at 57 Linelle Street, Toronto in the Lansing-Westgate neighbourhood with a 59/100 walk score and a 81/100 transit score. 57 Linelle Street Towns is designed by RN Design. The project is 3 storeys tall and has a total of 34 suites. 57 Linelle Street Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
572 Church Street,572 Church Street Condos,Fieldgate Urban,Church & Wellesley,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2017/06/572-church-street-rendering-5-260x260.jpg,,,710 sq.ft.,https://www.talkcondo.com/toronto/572-church-street-condos/,"572 Church Street Condos is a new condominium development by Fieldgate Urban currently in pre-construction located at 572 Church Street, Toronto in the Church & Wellesley neighbourhood with a 99/100 walk score and a 100/100 transit score. 572 Church Street Condos is designed by IBI Group and will feature interior design by Figure3. The project is 12 storeys tall and has a total of 127 suites. 572 Church Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
537 Eglinton Avenue East,537 Eglinton Avenue East Condos,Skale Developments,Davisville Village,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/02/537-eglinton-avenue-east-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/537-eglinton-avenue-east-condos/,"537 Eglinton Avenue East Condos is a new condominium development by Skale Developments currently in pre-construction located at 537 Eglinton Avenue East, Toronto in the Davisville Village neighbourhood with a 83/100 walk score and a 72/100 transit score. 537 Eglinton Avenue East Condos is designed by Turner Fleischer Architects. The project is 25 storeys tall and has a total of 300 suites. 537 Eglinton Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
529 Marlee Avenue,529 Marlee Avenue Condos,Skale Developments,Glen Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2017/09/529-marlee-avenue-condos-rendering-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/529-marlee-avenue-condos/,"529 Marlee Avenue Condos is a new condominium development by  currently in pre-construction located at 529 Marlee Avenue, Toronto in the Glen Park neighbourhood with a 84/100 walk score and a 83/100 transit score. 529 Marlee Avenue Condos is designed by KFA Architects and Planners. The project is 28 storeys tall and has a total of 306 suites. 529 Marlee Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
524 Dupont Street,524 Dupont Street Condos,Skale Developments,Davenport-Wychwood,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/524-dupont-street-condos/,"524 Dupont Street Condos is a new condominium development by  currently in pre-construction located at 524 Dupont Street, Toronto in the Davenport-Wychwood neighbourhood with a 90/100 walk score and a 95/100 transit score. 524 Dupont Street Condos is designed by John Shuki Lau Architect. The project is 3 storeys tall and has a total of 4 suites. 524 Dupont Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
50 Neptune Drive,50-52 Neptune Drive Condos,Dash Developments Inc,Lawrence Manor,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/02/50-52-neptune-drive-condos-rendering-02-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/50-52-neptune-drive-condos/,"50-52 Neptune Drive Condos is a new condominium development by Dash Developments Inc currently in pre-construction located at 50 Neptune Drive, Toronto in the Lawrence Manor neighbourhood with a 80/100 walk score and a 75/100 transit score. 50-52 Neptune Drive Condos is designed by Giovanni Tassone Architect Inc. and will feature interior design by Wolfe Interior Design. The project is 10 storeys tall and has a total of 140 suites. 50-52 Neptune Drive Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
50 Eglinton Avenue West,50 Eglinton Avenue West Condos,Madison Group,Lytton Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/04/50-eglinton-avenue-west-condos-rendering-8-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/50-eglinton-avenue-west-condos/,"50 Eglinton Avenue West Condos is a new condominium development by Madison Group currently in pre-construction located at 50 Eglinton Avenue West, Toronto in the Lytton Park neighbourhood with a 98/100 walk score and a 94/100 transit score. 50 Eglinton Avenue West Condos is designed by Turner Fleischer Architects & Hariri Pontarini Architects & ERA Architects. The project is 35 storeys tall and has a total of 702 suites. 50 Eglinton Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
50 Bloor Street West,50 Bloor Street West,Morguard Corporation,Yorkville,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2014/09/50-bloor-west-render-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/50-bloor-west-condos/,"50 Bloor Street West is a new condominium development by Morguard Corporation currently in pre-construction located at 50 Bloor Street West, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 99/100 transit score. The project is 71 storeys tall (229.8m, 754.0ft) and has a total of 600 suites. 50 Bloor Street West is the # tallest condominium in  and the # tallest condominium in . 50 Bloor Street West is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Luxury,
48 Avondale Avenue,48 Avondale Avenue Condos,Oulahen Team Realty,Willowdale,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/48-avondale-avenue-condos/,"48 Avondale Avenue Condos is a new condominium development by Oulahen Team Realty currently in pre-construction located at 48 Avondale Avenue, Toronto in the Willowdale neighbourhood with a 84/100 walk score and a 89/100 transit score. 48 Avondale Avenue Condos is designed by Turner Fleischer Architects. The project is 45 storeys tall and has a total of 1,238 suites. 48 Avondale Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
4700 Bathurst Street,4700 Bathurst Street Condos,Summit View Homes,Willowdale,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/08/4700-bathurst-street-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/4700-bathurst-street-condos/,"4700 Bathurst Street Condos is a new condominium development by Summit View Homes currently in pre-construction located at 4700 Bathurst Street, Toronto in the Willowdale neighbourhood with a 44/100 walk score and a 59/100 transit score. 4700 Bathurst Street Condos is designed by Daniel Johnson Architect Inc. The project is 9 storeys tall and has a total of 142 suites. 4700 Bathurst Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
438 Avenue Road,438 Avenue Road Condos,GALA Developments,South Hill,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/02/438-avenue-road-condos-rendering-01-260x260.jpg,,,928 sq.ft.,https://www.talkcondo.com/toronto/438-avenue-road-condos/,"438 Avenue Road Condos is a new condominium development by GALA Developments currently in pre-construction located at 438 Avenue Road, Toronto in the South Hill neighbourhood with a 79/100 walk score and a 83/100 transit score. 438 Avenue Road Condos is designed by IBI Group. The project is 24 storeys tall and has a total of 220 suites. 438 Avenue Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
43 Junction Road,43 Junction Road Condos,Diamondcorp,The Junction,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/02/43-junction-road-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/43-junction-road-condos/,"43 Junction Road Condos is a new condominium development by Diamondcorp currently in pre-construction located at 43 Junction Road, Toronto in the The Junction neighbourhood with a 87/100 walk score and a 76/100 transit score. 43 Junction Road Condos is designed by CORE Architects. The project is 35 storeys tall and has a total of 1,888 suites. 43 Junction Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
40 Broadway Avenue,44 Broadway Avenue Condos,Collecdev,Yonge & Eglinton,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2019/08/44-broadway-avenue-condos-rendering-001-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/44-broadway-avenue-condos/,"44 Broadway Avenue Condos is a new condominium development by Collecdev currently in pre-construction located at 40 Broadway Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 94/100 walk score and a 90/100 transit score. 44 Broadway Avenue Condos is designed by KPMB & Rafael Bigauskas Architects Inc.. The project is 40 storeys tall and has a total of 412 suites. 44 Broadway Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
4155 Yonge Street,4155 Yonge Street Condos,Green City Development,York Mills-Denlow,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2018/02/4155-yonge-street-condos-rendering-1-260x260.jpg,,,700 sq.ft.,https://www.talkcondo.com/toronto/4155-yonge-street-condos/,"4155 Yonge Street Condos is a new condominium development by Green City Development currently in pre-construction located at 4155 Yonge Street, Toronto in the York Mills-Denlow neighbourhood with a 62/100 walk score and a 89/100 transit score. 4155 Yonge Street Condos is designed by Richard Wengle Architect Inc.. The project is 11 storeys tall and has a total of 30 suites. 4155 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
412 Marlee Avenue,412 Marlee Avenue Condos,Altree Developments,Glen Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/02/412-marlee-avenue-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/412-marlee-avenue-condos/,"412 Marlee Avenue Condos is a new condominium development by Altree Developments currently in pre-construction located at 412 Marlee Avenue, Toronto in the Glen Park neighbourhood with a 84/100 walk score and a 85/100 transit score. 412 Marlee Avenue Condos is designed by Graziani + Corazza Architects Inc.. The project is 10 storeys tall and has a total of 219 suites. 412 Marlee Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
41 Chatsworth Drive,41 Chatsworth Drive Condos,Times Group Corporation,Lytton Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/02/41-chatsworth-drive-condos-rendering-03-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/41-chatsworth-drive-condos/,"41 Chatsworth Drive Condos is a new condominium development by Times Group Corporation currently in pre-construction located at 41 Chatsworth Drive, Toronto in the Lytton Park neighbourhood with a 78/100 walk score and a 82/100 transit score. 41 Chatsworth Drive Condos is designed by Kirshenblatt Urban Architecture Inc.. The project is 4 storeys tall and has a total of 30 suites. 41 Chatsworth Drive Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
40 Raglan Avenue,40 Raglan Avenue Condos,Hazelview Investments,Hillcrest Village St Clair-Humewood,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/40-raglan-avenue-condos/,"40 Raglan Avenue Condos is a new condominium development by Hazelview Investments currently in pre-construction located at 40 Raglan Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 88/100 walk score and a 85/100 transit score. 40 Raglan Avenue Condos is designed by Graziani + Corazza Architects Inc.. The project is 28 storeys tall and has a total of 217 suites. 40 Raglan Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
346 Eglinton Avenue West,346 Eglinton Avenue West Condos,Terranata Developments Inc,Allenby,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2018/01/346-eglinton-avenue-west-condos-rendering-260x260.jpeg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/346-eglinton-avenue-west-condos/,"346 Eglinton Avenue West Condos is a new condominium development by Terranata Developments Inc. currently in pre-construction located at 346 Eglinton Avenue West, Toronto in the Allenby neighbourhood with a 89/100 walk score and a 89/100 transit score. 346 Eglinton Avenue West Condos is designed by Rafael Bigauskas Architects Inc.. The project is 15 storeys tall and has a total of 112 suites. 346 Eglinton Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
3450 Dufferin Street,3450 Dufferin Street Condos,The Gupta Group,North Park-Yorkdale,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2016/09/3450-dufferin-condos-exterior-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/3450-dufferin-st-condos/,"3450 Dufferin Street Condos is a new condominium development by The Gupta Group currently in pre-construction located at 3450 Dufferin Street, Toronto in the North Park-Yorkdale neighbourhood with a 73/100 walk score and a 87/100 transit score. 3450 Dufferin Street Condos is designed by IBI Group. The project is 29 storeys tall (122.0m, 400.3ft) and has a total of 900 suites. 3450 Dufferin Street Condos is the # tallest condominium in . 3450 Dufferin Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
333 Wilson Avenue,333 Wilson Avenue Condos,Greatwise Developments,Clanton Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/333-wilson-avenue-condos/,"333 Wilson Avenue Condos is a new condominium development by Greatwise Developments currently in pre-construction located at 333 Wilson Avenue, Toronto in the Clanton Park neighbourhood with a 70/100 walk score and a 75/100 transit score. 333 Wilson Avenue Condos is designed by IBI Group. The project is 12 storeys tall and has a total of 185  suites. 333 Wilson Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
328 Bloor Street West,328 Bloor Street West Condos,First Capital Realty,The Annex,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/328-bloor-street-west-condos/,"328 Bloor Street West Condos is a new condominium development by First Capital Realty currently in pre-construction located at 328 Bloor Street West, Toronto in the The Annex neighbourhood with a 96/100 walk score and a 98/100 transit score. 328 Bloor Street West Condos is designed by BDP Quadrangle. The project is 37 storeys tall and has a total of 366 suites. 328 Bloor Street West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
3280 Dufferin Street,3280 Dufferin Street Condos,Topfar Developments,North Park-Yorkdale,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/3280-dufferin-street-condos/,"3280 Dufferin Street Condos is a new condominium development by Topfar Developments currently in pre-construction located at 3280 Dufferin Street, Toronto in the North Park-Yorkdale neighbourhood with a 72/100 walk score and a 83/100 transit score. 3280 Dufferin Street Condos is designed by IBI Group. The project is 14 storeys tall and has a total of 340 suites. 3280 Dufferin Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
32 Raglan Avenue,32 Raglan Avenue Condos,Madison Group,Hillcrest Village St Clair-Humewood,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2020/09/32-raglan-avenue-condos-rendering-05-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/32-raglan-avenue-condos/,"32 Raglan Avenue Condos is a new condominium development by Madison Group currently in pre-construction located at 32 Raglan Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 88/100 walk score and a 84/100 transit score. 32 Raglan Avenue Condos is designed by superkül. The project is 28 storeys tall and has a total of 440 suites. 32 Raglan Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
316 Bloor Street West,316 Bloor Street West Condos,State Building Group,The Annex,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2018/10/316-bloor-street-west-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/316-bloor-street-west-condos/,"316 Bloor Street West Condos is a new condominium development by State Building Group currently in pre-construction located at 316 Bloor Street West, Toronto in the The Annex neighbourhood with a 98/100 walk score and a 100/100 transit score. 316 Bloor Street West Condos is designed by Kirkor Architect + Planners. The project is 29 storeys tall and has a total of 403 suites. 316 Bloor Street West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
30 Scollard Street,30 Scollard Street Condos,Constantine Enterprises Inc,Yorkville,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/01/30-scollard-street-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/30-scollard-street-condos/,"30 Scollard Street Condos is a new condominium development by Constantine Enterprises Inc. currently in pre-construction located at 30 Scollard Street, Toronto in the Yorkville neighbourhood with a 98/100 walk score and a 91/100 transit score. 30 Scollard Street Condos is designed by CAL and Zeidler Architecture. The project is 61 storeys tall and has a total of 79 suites. 30 Scollard Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
2908 Yonge Street,2908 Yonge Street Condos,First Avenue Properties,Lytton Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/2908-yonge-street-condos/,"2908 Yonge Street Condos is a new condominium development by First Avenue Properties & Latch Developments currently under construction located at 2908 Yonge Street, Toronto in the Lytton Park neighbourhood with a 83/100 walk score and a 82/100 transit score. 2908 Yonge Street Condos is designed by RAW Design. The project is 13 storeys tall and has a total of 85 suites. 2908 Yonge Street Condos is currently in Registration Phase.",Under Construction,Yes,-,Yes,-,Condo,
276 Merton Street,276 Merton Street Condos,The Rockport Group,Davisville Village,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/02/276-merton-street-condos-rendering-02-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/276-merton-street-condos/,"276 Merton Street Condos is a new condominium development by The Rockport Group currently in pre-construction located at 276 Merton Street, Toronto in the Davisville Village neighbourhood with a 83/100 walk score and a 79/100 transit score. 276 Merton Street Condos is designed by Wallman Architects. The project is 13 storeys tall and has a total of 60 suites. 276 Merton Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
